State,Title,Address,Phone
Alabama,"Community Enterprise Investments, Inc.","302 North Barcelona Street Pensacola, FL 32501",850-595-6234
Alabama,Sabre Finance DBA VentureSouth,"2 20th St North Suite 1200 Birmingham, AL 35203",
Alabama,"LiftFund, Inc","2007 W Martin Street San Antonio, TX 78207",210-226-3664
Arizona,"Prestamos CDFI, LLC","1024 East Buckeye Road, Suite 270 Phoenix, AZ 85034",602-258-9911
Arkansas,"Communities Unlimited, Inc.","3 East Colt Square Drive Fayetteville, AR 72703",479-443-2700
Arkansas,Forge-Financing Ozarks Rural Growth and Economy,"4415 HWY, 412 Business Huntsville, AR 72740",501-738-1585
Arkansas,"LiftFund, Inc","2007 W Martin Street San Antonio, TX 78207",210-226-3664
California,Pacific Asian Consortium In Employment,"1055 Wilshire Blvd., Suite 1475 Los Angeles, CA 90017",213-989-3265
California,"AmPac Tri-State CDC, Inc.","22365 Baton Rd, Suite 210 Grand Terrace, CA 92313",909-915-1706
California,Fresno Community Development Financial Institution,"1920 Mariposa Mall, Suite 111 Fresno, CA 93721",559-263-1045
California,California Coastal Rural Development Corporation,"221 Main Street Suite, Suite 301 Salinas, CA 93901",
California,Southeast Asian Community Center,"875 O'Farrell Street San Francisco, CA 94109",415-885-2743
California,Working Solutions CDFI,"930 Montgomery Street, Suite 400 San Francisco, CA 94133",415-644-5433
California,Main Street Launch,"2101 Webster Street, Suite 1200 Oakland, CA 94612",510-763-4297
California,Arcata Economic Development Corporation,"707 K Street Eureka, CA 95501",707-822-4616
California,"Opening Doors, Inc.","1111 Howe Ave., Suite 125 Sacramento, CA 95825",916-492-2591
California,California FarmLink,"335 Spreckels Drive, Suite F Aptos, CA 95003",
California,CDC Small Business Finance Corporation,"2448 Historic Decatur Road, Suite 200 San Diego, CA 92106",619-291-3594
California,Women's Economic Ventures,"333 S. Salinas Street Santa Barbara, CA 93103",805-965-6073
California,Mission Economic Development Agency,"2301 Mission Street, Suite 301 San Francisco, CA 94110",415-282-3334
Colorado,Community Enterprise Development Services,"1450 S. Havana St. #620 Aurora, CO 80012",303-569-8165
Colorado,Colorado Enterprise Fund,"1888 Sherman Street, Suite 530 Denver, CO 80203",303-860-0242
Colorado,Region 10 LEAP for Economic Development,"300 North Cascade Street, Suite 1 Montrose, CO 81401",970-249-2436
Connecticut,Hartford Economic Development Corp.,"15 Lewis Street, Suite 204 Hartford, CT 6103",860-527-1301
