title,link,price,likes
Western Digital,https://slickdeals.net/coupons/westerndigital/,$134.99 ,9
Targus,https://slickdeals.net/coupons/targus/,$31.03 ,5
Lenovo,https://slickdeals.net/coupons/lenovo/,N/A,0
2-Pack GE UltraPro 6-Outlet Surge Protector Adapter Spaced Wall Tap - $15.84 @ Amazon + FSSS,https://slickdeals.net/f/14088200-2-pack-ge-ultrapro-6-outlet-surge-protector-adapter-spaced-wall-tap-15-84-amazon-fsss?src=catpagev2,$15.84 ,5
Macrium Reflect 7.2 Backup Software 30% Off Memorial Day Promo $48.96,https://slickdeals.net/f/14078018-macrium-reflect-7-2-backup-software-30-off-memorial-day-promo-48-96?src=catpagev2,$48.96 ,4
Leawo Blu-ray Ripper/ Copy $31.46,https://slickdeals.net/f/14084546-leawo-blu-ray-ripper-copy-31-46?src=catpagev2,$31.46 ,0
Costco Wholesale,https://slickdeals.net/coupons/costco-wholesale/,$229.99 ,15
"Norton 360 Premium Antivirus Software, 10 Devices w/ Auto Renewal, Key Card or DL @Newegg $24.99",https://slickdeals.net/f/14096870-norton-360-premium-antivirus-software-10-devices-w-auto-renewal-key-card-or-dl-newegg-24-99?src=catpagev2,$24.99 ,5
Apple AirPods Pro $229.99,https://slickdeals.net/f/14086373-apple-airpods-pro-229-99?src=catpagev2,$229.99 ,43
Oculus,https://slickdeals.net/coupons/oculus/,$79 ,11
"AMD Ryzen 7 3700X 8-core, 16-Thread Unlocked Desktop Processor with Wraith Prism LED Cooler $274.49",https://slickdeals.net/f/14088155-amd-ryzen-7-3700x-8-core-16-thread-unlocked-desktop-processor-with-wraith-prism-led-cooler-274-49?src=catpagev2,$274.49 ,4
Intel i7-10700 8-Core Desktop Processor Bundle Deals + ASRock Z490 Steel Legend MB for $499.98 AR or Gigabyte Z490 AORUS MB for $544.98,https://slickdeals.net/f/14087327-intel-i7-10700-8-core-desktop-processor-bundle-deals-asrock-z490-steel-legend-mb-for-499-98-ar-or-gigabyte-z490-aorus-mb-for-544-98?src=catpagev2,$499.98 ,9
Apple iTunes,https://slickdeals.net/coupons/apple-itunes/,$1 ,60
Office Depot and OfficeMax,https://slickdeals.net/coupons/office-depot/,$0.94 ,8
Dell Home: Alienware 25 Monitor - AW2518H $399.99 + FS & MORE,https://slickdeals.net/f/14070749-dell-home-alienware-25-monitor-aw2518h-399-99-fs-more?src=catpagev2,$399.99 ,0
Dell Technologies,https://slickdeals.net/coupons/dell-technologies/,N/A,1
Sony 64GB CFast 2.0 G Series Memory Card with USB 3.0 Card Reader $100,https://slickdeals.net/f/14078531-sony-64gb-cfast-2-0-g-series-memory-card-with-usb-3-0-card-reader-100?src=catpagev2,$100 ,1
"Lenovo IdeaPad S340 (13"") $519",https://slickdeals.net/f/14077610-lenovo-ideapad-s340-13-519?src=catpagev2,$519 ,1
eBags,https://slickdeals.net/coupons/ebags/,N/A,0
CORSAIR K68 Mechanical Cherry MX Red Switch Keyboard (Black) - $99.99 + FS,https://slickdeals.net/f/14084519-corsair-k68-mechanical-cherry-mx-red-switch-keyboard-black-99-99-fs?src=catpagev2,N/A,1
BJs Wholesale,https://slickdeals.net/coupons/bjs-wholesale/,$17.99 ,13
Logitech G604 $69.99 at Amazon and $70.99 at Best Buy,https://slickdeals.net/f/14082713-logitech-g604-69-99-at-amazon-and-70-99-at-best-buy?src=catpagev2,$69.99 ,13
G.SKILL TridentZ RGB Series 32GB (2 x 16GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 25600) Desktop Memory Model F4-3200C16D-32GTZR $144.99,https://slickdeals.net/f/14083016-g-skill-tridentz-rgb-series-32gb-2-x-16gb-288-pin-ddr4-sdram-ddr4-3200-pc4-25600-desktop-memory-model-f4-3200c16d-32gtzr-144-99?src=catpagev2,$144.99 ,4
Razer Basilisk Ultimate Wireless Gaming Mouse $149.99,https://slickdeals.net/f/14082263-razer-basilisk-ultimate-wireless-gaming-mouse-149-99?src=catpagev2,$149.99 ,7
"Lenovo IdeaPad 5 / 14"" 1080p anti-glare / 10th gen intel i5 / 8gb ram / 256gb SSD $549 @ Walmart",https://slickdeals.net/f/14082965-lenovo-ideapad-5-14-1080p-anti-glare-10th-gen-intel-i5-8gb-ram-256gb-ssd-549-walmart?src=catpagev2,$549 ,2
CyberPower,https://slickdeals.net/coupons/cyberpower/,$899 ,15
Lenovo,https://slickdeals.net/coupons/lenovo/,$895.95 ,14
Dell Technologies,https://slickdeals.net/coupons/dell-technologies/,N/A,0
Apple Store,https://slickdeals.net/coupons/apple-store/,$549 ,25
"Lenovo IdeaPad Laptop: Ryzen 3 3200U, 15.6"" 1080p, 8GB DDR4, 256GB SSD, Vega 3, Win 10 $349.99 + Free Shipping @ Best Buy",https://slickdeals.net/f/14100542-lenovo-ideapad-laptop-ryzen-3-3200u-15-6-1080p-8gb-ddr4-256gb-ssd-vega-3-win-10-349-99-free-shipping-best-buy?src=catpagev2,$349.99 ,27
AMD Ryzen 7 3700X 8-Core 3.6GHz AM4 Desktop Processor,https://slickdeals.net/f/14099897-amd-ryzen-7-3700x-100-100000071box-274-49?src=catpagev2,$274.50 ,49
"32GB Apple iPad 7th Gen 10.2"" WiFi Tablet (Latest Model, Various Colors)",https://slickdeals.net/f/14094599-32gb-apple-ipad-7th-gen-10-2-wifi-tablet-latest-model-various-colors-250-free-shipping?src=catpagev2,$250 ,120
Crucial X8 500GB 1000MB/s external SSD $79.95,https://slickdeals.net/f/14097044-crucial-x8-500gb-1000mb-s-external-ssd-79-95?src=catpagev2,$79.95 ,2
"Apple Macbook Pro (Latest Model): 13"" Retina Display, i5-8257U, 8GB RAM, 256GB SSD",https://slickdeals.net/f/14094380-apple-macbook-pro-latest-model-13-retina-display-i5-8257u-8gb-ram-256gb-ssd-1100-more-free-s-h?src=catpagev2,"$1,100 ",150
Targus,https://slickdeals.net/coupons/targus/,$13.80 ,29
Acronis True Image 2020 - 1 Device $15,https://slickdeals.net/f/14097023-acronis-true-image-2020-1-device-15?src=catpagev2,$15 ,1
Kingston A400 480GB Internal Solid State Drive SSD SATA 3 $53.99,https://slickdeals.net/f/14086958-kingston-a400-480gb-internal-solid-state-drive-ssd-sata-3-53-99?src=catpagev2,$53.99 ,2
Google WiFi 3 Pack $64 YMMV.,https://slickdeals.net/f/14085131-google-wifi-3-pack-64-ymmv?src=catpagev2,$64 ,61
"Kingston 480GB A400 SATA 3 2.5"" $54 $53.99",https://slickdeals.net/f/14087540-kingston-480gb-a400-sata-3-2-5-54-53-99?src=catpagev2,$53.99 ,0
"Linksys Velop VLP0203 AC4600 Mesh Wi-Fi System, 3 Pack - $74 (Walmart - YMMV)",https://slickdeals.net/f/14084240-linksys-velop-vlp0203-ac4600-mesh-wi-fi-system-3-pack-74-walmart-ymmv?src=catpagev2,$74 ,137
1TB ADATA Entry SC680 Series USB 3.1 External SSD,https://slickdeals.net/f/14085089-adata-sc680-1tb-usb-3-1-gen-2-type-c-external-ssd-black-99-99-with-f-s?src=catpagev2,$100 ,42
